City,FAA,IATA,ICAO,Airport,Role,Enplanements
Pellston,PLN,PLN,KPLN,Pellston Regional/Emmet County Airport,P-N,25464.0
Saginaw,MBS,MBS,KMBS,MBS International Airport,P-N,127627.0
Sault Ste. Marie,CIU,CIU,KCIU,Chippewa County International Airport,P-N,23324.0
Traverse City,TVC,TVC,KTVC,Cherry Capital Airport (was Cherry County Airpark),P-N,247324.0
MINNESOTA,,,,,,
Bemidji,BJI,BJI,KBJI,Bemidji Regional Airport,P-N,30081.0
Brainerd,BRD,BRD,KBRD,Brainerd Lakes Regional Airport,P-N,22233.0
Duluth,DLH,DLH,KDLH,Duluth International Airport,P-N,136806.0
Hibbing,HIB,HIB,KHIB,Range Regional Airport (was Chisholm–Hibbing Airport),P-N,17111.0
Minneapolis-St. Paul,MSP,MSP,KMSP,Minneapolis–St. Paul International/Wold-Chamberlain Airport,P-L,18361942.0
Rochester,RST,RST,KRST,Rochester International Airport,P-N,182509.0
St. Cloud,STC,STC,KSTC,St. Cloud Regional Airport,P-N,22464.0
MISSISSIPPI,,,,,,
Columbus,GTR,GTR,KGTR,Golden Triangle Regional Airport,P-N,46246.0
Gulfport / Biloxi,GPT,GPT,KGPT,Gulfport–Biloxi International Airport,P-N,359055.0
Hattiesburg / Laurel,PIB,PIB,KPIB,Hattiesburg–Laurel Regional Airport,P-N,9813.0
Jackson,JAN,JAN,KJAN,Jackson–Medgar Wiley Evers International Airport,P-S,489454.0
Meridian,MEI,MEI,KMEI,Key Field,P-N,19332.0
Tupelo,TUP,TUP,KTUP,Tupelo Regional Airport (C.D. Lemons Field),P-N,13557.0
MISSOURI,,,,,,
Branson,BBG,BKG,KBBG,Branson Airport,P-N,1601.0
Columbia,COU,COU,KCOU,Columbia Regional Airport,P-N,120235.0
Fort Leonard Wood / Waynesville,TBN,TBN,KTBN,Waynesville–St. Robert Regional Airport (Forney Field),P-N,7717.0
Joplin,JLN,JLN,KJLN,Joplin Regional Airport,P-N,40013.0
Kansas City,MCI,MCI,KMCI,Kansas City International Airport (was Mid-Continent International),P-M,5790847.0
St. Louis,STL,STL,KSTL,St. Louis Lambert International Airport,P-M,7631953.0
Springfield/Branson,SGF,SGF,KSGF,Springfield–Branson National Airport,P-S,523108.0
MONTANA,,,,,,
Billings,BIL,BIL,KBIL,Billings Logan International Airport,P-S,440263.0
Bozeman,BZN,BZN,KBZN,Bozeman Yellowstone International Airport (was Gallatin Field),P-S,670295.0
Butte,BTM,BTM,KBTM,Bert Mooney Airport,P-N,25803.0
Great Falls,GTF,GTF,KGTF,Great Falls International Airport,P-N,176434.0
Helena,HLN,HLN,KHLN,Helena Regional Airport,P-N,115438.0
Kalispell,GPI,FCA,KGPI,Glacier Park International Airport,P-S,307242.0
Missoula,MSO,MSO,KMSO,Missoula Montana Airport (was Missoula International Airport),P-S,425563.0
West Yellowstone,WYS,WYS,KWYS,Yellowstone Airport,P-N,8200.0
NEBRASKA,,,,,,
Grand Island,GRI,GRI,KGRI,Central Nebraska Regional Airport,P-N,63298.0
Kearney,EAR,EAR,KEAR,Kearney Regional Airport (was Kearney Municipal),P-N,4568.0
Lincoln,LNK,LNK,KLNK,Lincoln Airport (was Lincoln Municipal),P-N,150214.0
North Platte,LBF,LBF,KLBF,North Platte Regional Airport (Lee Bird Field),P-N,13798.0
Omaha,OMA,OMA,KOMA,Eppley Airfield,P-M,2454878.0
Scottsbluff,BFF,BFF,KBFF,Western Nebraska Regional Airport (William B. Heilig Field),P-N,14295.0
NEVADA,,,,,,
Boulder City,BVU,BLD,KBVU,Boulder City Municipal Airport,P-N,205690.0
Elko,EKO,EKO,KEKO,Elko Regional Airport (J.C. Harris Field),P-N,18363.0
Las Vegas,LAS,LAS,KLAS,Harry Reid International Airport,P-L,23795012.0
Reno,RNO,RNO,KRNO,Reno/Tahoe International Airport,P-M,2048916.0
NEW HAMPSHIRE,,,,,,
Manchester,MHT,MHT,KMHT,Manchester–Boston Regional Airport,P-S,911225.0
Portsmouth,PSM,PSM,KPSM,Portsmouth International Airport at Pease,P-N,92836.0
NEW JERSEY,,,,,,
Atlantic City,ACY,ACY,KACY,Atlantic City International Airport,P-S,568958.0
Newark,EWR,EWR,KEWR,Newark Liberty International Airport,P-L,22797602.0
Trenton,TTN,TTN,KTTN,Trenton–Mercer Airport,P-N,404349.0
NEW MEXICO,,,,,,
Albuquerque,ABQ,ABQ,KABQ,Albuquerque International Sunport,P-M,2647269.0
Hobbs,HOB,HOB,KHOB,Lea County Regional Airport,P-N,23475.0
Roswell,ROW,ROW,KROW,Roswell Air Center,P-N,56632.0
Santa Fe,SAF,SAF,KSAF,Santa Fe Municipal Airport,P-N,115787.0
NEW YORK,,,,,,
Albany,ALB,ALB,KALB,Albany International Airport,P-S,1440674.0
Binghamton,BGM,BGM,KBGM,Greater Binghamton Airport (Edwin A. Link Field),P-N,36382.0
Buffalo,BUF,BUF,KBUF,Buffalo Niagara International Airport,P-S,2523158.0
Elmira / Corning,ELM,ELM,KELM,Elmira/Corning Regional Airport,P-N,141075.0
Ithaca,ITH,ITH,KITH,Ithaca Tompkins International Airport,P-N,99070.0
New York,JFK,JFK,KJFK,John F. Kennedy International Airport (was New York International Airport),P-L,30620769.0
New York,LGA,LGA,KLGA,LaGuardia Airport (and Marine Air Terminal),P-L,15058501.0
Islip / Brookhaven,ISP,ISP,KISP,Long Island MacArthur Airport,P-S,811535.0
Newburgh,SWF,SWF,KSWF,New York Stewart International Airport,P-N,354869.0
Niagara Falls,IAG,IAG,KIAG,Niagara Falls International Airport,P-N,119182.0
Ogdensburg,OGS,OGS,KOGS,Ogdensburg International Airport,P-N,23448.0
Plattsburgh,PBG,PBG,KPBG,Plattsburgh International Airport,P-N,119783.0
Rochester,ROC,ROC,KROC,Frederick Douglass/Greater Rochester International Airport,P-S,1281908.0
Syracuse,SYR,SYR,KSYR,Syracuse Hancock International Airport,P-S,1139568.0
Watertown,ART,ART,KART,Watertown International Airport,P-N,23844.0
White Plains,HPN,HPN,KHPN,Westchester County Airport,P-S,789283.0
NORTH CAROLINA,,,,,,
Asheville,AVL,AVL,KAVL,Asheville Regional Airport,P-S,573206.0
Charlotte,CLT,CLT,KCLT,Charlotte Douglas International Airport,P-L,22281949.0
Concord,JQF,USA,KJQF,Concord–Padgett Regional Airport,P-N,147065.0
Fayetteville,FAY,FAY,KFAY,Fayetteville Regional Airport (Grannis Field),P-N,234998.0
Greensboro,GSO,GSO,KGSO,Piedmont Triad International Airport,P-S,938593.0
Greenville,PGV,PGV,KPGV,Pitt–Greenville Airport,P-N,51599.0
Jacksonville,OAJ,OAJ,KOAJ,Albert J. Ellis Airport,P-N,152448.0
New Bern,EWN,EWN,KEWN,Coastal Carolina Regional Airport (was Craven County Regional),P-N,111172.0
Raleigh,RDU,RDU,KRDU,Raleigh–Durham International Airport,P-M,6258101.0
Wilmington,ILM,ILM,KILM,Wilmington International Airport,P-S,468816.0
NORTH DAKOTA,,,,,,
Bismarck,BIS,BIS,KBIS,Bismarck Municipal Airport,P-N,215056.0
Dickinson,DIK,DIK,KDIK,Dickinson Theodore Roosevelt Regional Airport,P-N,17506.0
Fargo,FAR,FAR,KFAR,Hector International Airport,P-S,408477.0
Grand Forks,GFK,GFK,KGFK,Grand Forks International Airport,P-N,69800.0
Jamestown,JMS,JMS,KJMS,Jamestown Regional Airport,P-N,12804.0
Minot,MOT,MOT,KMOT,Minot International Airport,P-N,126575.0
Williston,XWA,XWA,KXWA,Williston Basin International Airport,P-N,46577.0
OHIO,,,,,,
Akron / Canton,CAK,CAK,KCAK,Akron–Canton Airport,P-N,449731.0
Cleveland,CLE,CLE,KCLE,Cleveland Hopkins International Airport,P-M,4701713.0
Columbus,CMH,CMH,KCMH,John Glenn Columbus International Airport,P-M,3976620.0
Columbus,LCK,LCK,KLCK,Rickenbacker International Airport,P-N,154475.0
Dayton,DAY,DAY,KDAY,James M. Cox Dayton International Airport,P-S,858022.0
Toledo,TOL,TOL,KTOL,Eugene F. Kranz Toledo Express Airport,P-N,123541.0
OKLAHOMA,,,,,,
Lawton,LAW,LAW,KLAW,Lawton–Fort Sill Regional Airport,P-N,48086.0
Oklahoma City,OKC,OKC,KOKC,Will Rogers World Airport,P-S,2094708.0
Stillwater,SWO,SWO,KSWO,Stillwater Regional Airport,P-N,27321.0
Tulsa,TUL,TUL,KTUL,Tulsa International Airport,P-S,1482908.0
OREGON,,,,,,
